Koordinaten;Name;Link;Beschreibung
POINT (-74.4056612 40.0583238);GAG156: Charles Lindbergh, Alexis Carrel und die Mensch-Maschine;https://www.geschichte.fm/podcast/zs156/;"Wir springen in dieser Folge in die 30er Jahre des 20. Jahrhunderts und beschäftigen uns mit etwas Medizin- und Wissenschaftsgeschichte. Protagonisten der Geschichte sind der Nobelpreisträger Alexis und Carrel und &#8211; überraschenderweise &#8211; der Flugpionier Charles Lindbergh. Beide sind sie von einem Traum beseelt: den Menschen unsterblich zu machen. Wie sie das erreichen wollen und welche Wege sie bereit sind dafür zu beschreiten besprechen wir in dieser Folge. Die vorwiegend hierfür verwendete"
POINT (105.318756 61.52401);GAG155: Trofim Lyssenko und der Lyssenkoismus in der Sowjetunion;https://www.geschichte.fm/podcast/zs155/;"Wir springen etwa 100 Jahre zurück in die Sowjetunion und beschäftigen uns mit Trofim Denissowitsch Lyssenko und dem nach ihm benannten Lyssenkoismus. Der Agrarwissenschaftler entwickelt in den 1930er Jahren ein pseudowissenschaftliches Konzept, angelehnt an den Neo-Lamarckismus. Er vertrat aber nicht nur die Ansicht, dass Pflanzen Eigenschaften, die sie im Laufe ihres Lebens erworben haben, vererben können, sondern lehnte Mutation und Selektion gänzlich ab und negierte die Existenz von Genen als unsozialistisch und deshalb falsch. Allerdings gelingt es Lyssenko, Stalin von seinen Ideen zu überzeugen und so steigt sein Einfluss, bis der Lyssenkoismus nicht nur als alleinige Lehrmeinung festgeschrieben wurde, sondern die Genetik überhaupt als faschistische und bourgeoise Wissenschaft diskreditiert wurde und zahlreiche Forscher verfolgt wurden und ihre Stellen verloren. Und während der Lyssenkoismus viele Jahre als überwunden galt, lässt sich in letzter Zeit ein Neo-Lyssenkoismus beobachten.  Vielen Dank an Georgy Levit, der uns für diese Episode als Experte zur Verfügung stand und Co-Autor eines Beitrags über das Erstarken des Lyssenkoismus in der Sowjetunion ist: Edouard I. Kolchinsky, Ulrich Kutschera, Uwe Hossfeld, and Georgy S. Levit: Russia&#8217;s new Lysenkoism, Current Biology, Volume 27, Issue 19, R1042-R1047."
POINT (16.3697428 48.2088774);GAG153: Wien-Tour mit Thomas Harbich (#WienFakt);https://www.geschichte.fm/podcast/zs153/;"In dieser Folge lassen wir uns viele kleine Geschichten erzählen: Mit Thomas Harbich, der auf Twitter täglich einen #WienFakt präsentiert, sind wir durch Wien gelaufen und haben uns Orte zeigen lassen, die wir auch nach vielen Wien-Jahren noch nicht kannten. Wir lernen viel über Wien, über Thomas und sein #WienFakt-Projekt und begeben uns auf eine kleine Entdeckungsreise (stellenweise auch Abenteuerreise!) durch den 1. Bezirk. Zu den einzelnen Stationen haben wir auch Bilder gemacht, aber um hier nicht zu viel zu verraten, haben wir sie in ein eigenes Blogposting ausgelagert. Vielen Dank an Thomas für die Tour! Wer mehr #WienFakten entdecken möchte, findet sie hier chronologisch dokumentiert. #WienFakt gibt es auch als Video-Reihe auf W24.  Gemeinsam mit einigen ganz besonderen Fröschen verabschieden wir uns winkend in die Sommerpause und kommen (vermutlich?) im September mit neuen Folgen wieder. Macht es gut und viel Spaß mit Folge 80 der @wien24&#8211;#WienFakten. pic.twitter.com/BdIBePTqOu — Thomas H. (@Tom_Harb) 20. Juli 2018"
POINT (9.969389 53.342246);Extra: Interview mit Walfried Malleskat vom Filmmuseum Bendestorf;https://www.geschichte.fm/podcast/zs150-extra/;Wie in der Jubiläumsfolge 150 versprochen, veröffentlichen wir auch das komplette Interview mit Walfried Malleskat vom Filmmuseum Bendestorf. In dem Gespräch, das Daniel im Filmmuseum geführt hat, erzählt Malleskat unter anderem von den Anfängen des Filmstudios Bendestorf, der Gründung der Jungen Film-Union 1947 durch Rolf Meyer, vom Film „Die Sünderin“ (1951) mit Hildegard Knef in der Hauptrolle und von der gegenwärtigen Situation des Filmmuseums. Denn heute wird in Bendestorf nicht mehr gedreht: Es sollen auf dem Gelände Wohnungen entstehen, weshalb mit dem Abriss der Produktionshallen begonnen wurde. Das Filmmuseum hat jeden Donnerstag und Sonntag geöffnet und bietet regelmäßig Veranstaltungen und Filmabende an. Hier ein paar Eindrücke vom Filmmuseum und dem ehemaligen Filmgelände in Bendestorf.         Filmmuseum Bendestorf          Abriss der Produktionshallen.        Gelände des ehemaligen Filmstudios Bendestorf        Der Originaldrehbuch des Skandalfilms „Die Sünderin“            Filmplakate „Die Sünderin“
POINT (-55.1402233 -61.1125817);GAG152: Ernest Shackleton und die Endurance-Expedition;https://www.geschichte.fm/podcast/zs152/;Wir springen in das Jahr 1914 und beschäftigen uns mal wieder mit einer Expedition: der Imperial Trans-Antarctic Expedition. Unter der Leitung von Ernest Shackleton war das Ziel, die Antarktis zu durchqueren. Die Mission scheiterte, weil das Schiff mit dem sie unterwegs waren, die Endurance, von Eisschollen zerquetsch wurde und unterging. Es folgte ein Kampf gegen das Eis, der sie zunächst auf die Insel Elephant Island führte. Von dort gelang es Shackleton, mit einer kleinen Gruppe nach Südgeorgien zu segeln und Rettung zu holen. Während die Geschichte um die Endurance-Expedition bis heute immer wieder erzählt wird, geriet die Ross Sea Party bald in Vergessenheit. Shackleton’s Forgotten Men sollten auf dem letzten Drittel der Antarktisdurchquerung Nahrungsmitteldepots für Shackleton anlegen. Der in der Episode erwähnte Beitrag aus dem New Yorker: THE WHITE DARKNESS Auf dem Bild sind die 22 Expeditionsteilnehmer auf Elephant Island zu sehen, die der „James Caird“ winken, die sich gerade auf den Weg nach Südgeorgien macht.
POINT (9.9660884 53.3398534);GAG150: Die Geschichte des Filmstudios Bendestorf;https://www.geschichte.fm/podcast/zs150/;Wir beschäftigen uns diesmal mit Filmgeschichte und sprechen über ein Filmstudio, das den deutschen Nachkriegsfilm wesentlich geprägt hat: das Filmstudio Bendestorf. In Bendestorf, ein kleiner Ort in Niedersachsen, 30 Kilometer südlich von Hamburg, hat Rolf Meyer 1947 die Junge Film-Union gegründet und ein Filmstudio aufgebaut. Der bekannteste Film, der in Bendestorf gedreht wurde, ist „Die Sünderin“ (1951) – mit Hildegard Knef in der Hauptrolle. Der Film führte zu heftigen Protesten und Auseinandersetzungen in der deutschen Nachkriegsgesellschaft – mit Stinkbomben und Boykotten. Die Junge Film-Union ging bald pleite, Meyer musste ins Gefängnis, aber in Bendestorf wurde weiter gedreht: Es entstanden nicht nur Filme, sondern auch TV-Produktionen, wie die 1. Familienserie im deutschen Fernsehen („Familie Schölermann“) und Shows für das Privatfernsehen, wie „Alles Nichts Oder?!“. Heute wird in Bendestorf nicht mehr gedreht: Es sollen auf dem Gelände Wohnungen entstehen, weshalb mit dem Abriss der Produktionshallen begonnen wurde. Walfried Malleskat leitet das Filmmuseum in Bendestorf und er erzählt in der Folge von der Geschichte und Gegenwart des Filmstudios. Das Filmmuseum hat jeden Donnerstag und Sonntag geöffnet und bietet regelmäßig Veranstaltungen und Filmabende an.
POINT (-21.5561192 63.991234);GAG149: Die Kabeljaukriege;https://www.geschichte.fm/podcast/zs149/;"Wir springen in dieser Folge nicht weit zurück. Die Geschichte beginnt in den späten 50er Jahren des 20. Jahrhunderts. Wir befinden uns in Island, und wie der Name schon sagt, dreht sich die Geschichte unter anderem auch um Kabeljau. Denn der ist ein begehrtes Gut, nicht nur bei den isländischen, sondern besonders auch bei den britischen Fischern. So sehr, dass sich im Jahr 1958 ein Konflikt entfaltet, der bis in die späten 1970er Jahre reichen sollte. Das erwähnte Paper heißt &#8222;The Cod Wars: a re-analysis&#8220;, ist aus dem Jahr 2016 und von Sverrir Steinsson, erschienen in der Publikation &#8222;European Security&#8220;. Das Episodenbild zeigt den Zusammenstoß des isländischen Küstenwacheschiffs „Odinn“ mit dem britischen Kriegsschiff „Scylla“. Lizenz: Issac Newton, Scylla-Odinn, CC BY-SA 2.5"
POINT (13.4240401 52.48857);GAG147: Das Fräulein vom Amt;https://www.geschichte.fm/podcast/zs147/;"Wir springen in dieser Folge ans Ende des 19. Jahrhunderts, wo unsere Geschichte aus der Geschichte beginnt. Nicht nur, aber auch in Deutschland hat der Siegeszug des Telefons begonnen. Damals, allerdings, noch ohne die Möglichkeit selbst die Nummer zu wählen. Stattdessen gab es Verbindungszentralen, in denen vornehmlich junge Frauen saßen, um die Anrufe durchzustellen. Wir sprechen über diese &#8222;Fräulein vom Amt&#8220;: warum die Arbeit meist Frauen machten, welche Frauen das waren und wo sie heute sind. Die erwähnte"
POINT (-58.443832 -23.442503);GAG146: Tripel-Allianz-Krieg;https://www.geschichte.fm/podcast/zs146/;Wir springen in dieser Folge nach Südamerika in die La Plata-Region und beschäftigen uns mit dem bislang größten militärischen Konflikt des Subkontinents: den Tripel-Allianz-Krieg. Von 1864 bis 1870 kämpfte Paraguay gegen die Tripel-Allianz bestehend aus Argentinien, Brasilien und Uruguay. Der Krieg hatte für Paraguay, das ungefähr die Hälfte seiner Einwohner verlor, verheerende Folgen und prägt das Land bis heute. Wir sprechen darüber, wie es dazu kam, wie der Krieg verlief, welche Folgen er hatte und wie er bis heute erinnert wird. Vielen Dank an Prof. Dr. Ralph Rotte von der RWTH Aachen, der uns als Experte zur Verfügung stand und ein Buch über den Tripel-Allianz-Krieg geschrieben hat: Paraguays „Großer Krieg“ gegen die Tripel-Allianz.
POINT (-3.74922 40.463667);GAG144: Die Spanische Grippe;https://www.geschichte.fm/podcast/zs144/;Wir springen in dieser Folge 100 Jahre zurück, in das Jahr 1918, und beschäftigen uns mit der wahrscheinlich größten demographischen Katastrophe des 20. Jahrhunderts. Jeder dritte Mensch hat sich damals mit der Spanischen Grippe angesteckt und es gibt Untersuchungen, die von 50 Millionen Grippetoten ausgehen. Und dennoch gibt es in Bezug auf die Spanische Grippe kaum Erinnerungskultur. Wir sprechen darüber, wie die Grippe zu ihrem Namen kam, warum die Grippewelle so tödlich verlief und warum der Erste Weltkrieg entscheidend zur Verbreitung – und vielleicht sogar zur Entstehung – beigetragen hat. Das in der Episode erwähnte Buch ist „Pale Rider: The Spanish Flu of 1918 and How it Changed the World“ von Laura Spinney. Das Bild „Die Familie“ zeigt Egon Schiele mit seiner Frau Edith und dem gemeinsamen Kind. Schiele hat es nach dem Tod seiner schwangeren Frau gemalt und kurz bevor er selbst an der Grippe gestorben ist.
POINT (-73.9757629 40.7689456);GAG143: über Marsmenschen, Massenpanik und die Entstehung eines Mythos;https://www.geschichte.fm/podcast/zs143/;"Wir springen in dieser Folge in die 30er Jahre des 20. JH und sprechen über ein Hörspiel, das auch heute noch gern als eines der ersten Beispiele für den Einfluss der Massenmedien auf den Menschen herangezogen wird: War of the Worlds, ursprünglich ein Roman von H.G. Wells, fürs amerikanische Radio von Orson Welles adaptiert. Wir sprechen über die – laut zahlreicher Zeitungsberichte, die am nächsten Tag erschienen – ausgebrochene Massenpanik, hervorgerufen durch die angeblich zu realitätsnahe Darbietung der Akteure. Außerdem sprechen wir darüber, warum das so höchstwahrscheinlich gar nicht alles stimmt. Vielen Dank an Martin Hemmer fürs großartige Einsprechen dieser New York Times Meldung vom 31. Oktober 1938. Wer mehr von seiner Stimme hören will kann das zum Beispiel hier tun. Das erwähnte Buch von W. Joseph Campbell heißt &#8222;Getting it Wrong: Ten of the Greatest Misreported Stories in American Journalism&#8220;. Den gesamten Originalbroadcast von &#8222;War of the Worlds&#8220; gibt&#8217;s auf archive.org zum Anhören und Runterladen. Das Episodenbild zeigt Orson Welles in der Nacht nach der Ausstrahlung des Hörspiels, während er, von Reportern belagert, ein Statement abgibt."
POINT (8.6847101 50.0575755);GAG142: Bertha Pappenheim – Gründerin des Jüdischen Frauenbundes und Sozialpionierin;https://www.geschichte.fm/podcast/zs142/;Wir beschäftigen uns in dieser Folge mit der faszinierenden Biographie Bertha Pappenheims. Sie war eine Protagonistin der konfessionellen Frauenbewegung Anfang des 20. Jahrhunderts, Gründerin des Jüdischen Frauenbundes, eine bedeutende Stimme im Kampf gegen den Mädchenhandel und eine Pionierin der Sozialarbeit. Aber dennoch ist sie vielen vor allem als berühmte Patientin in Erinnerung geblieben, als Anna O., „Urpatientin“ der Psychoanalyse. Vielen Dank an Prof. Dr. Britta Konz von der TU Dortmund, die ihre Dissertation über Bertha Pappenheim geschrieben hat und uns als Expertin zur Verfügung stand. Ein weiterer Dank geht an Juna Grossmann, die uns in Episode 86, die Geschichte eines falschen Messias erzählt hat und den Hinweis für diese Folge geliefert hat.
POINT (152.3969444 -4.2366667);GAG141: Die kurze Geschichte des Kokovorismus;https://www.geschichte.fm/podcast/zs141/;Wir springen in dieser Episode an den Anfang des 20. Jahrhunderts. Schauplatz ist die sehr kleine Insel Kabakon im südpazifischen Bismarck-Archipel. Protagonist der Geschichte ist August Engelhardt, einst geborener Nürnberger, nun neugeborener Lebensreformer. Im Dunstkreis eben dieser Lebensreformer entwickelt er einen neuen Kult, der sich gänzlich um nur eine Sache dreht: die Kokosnuss. Der in der Episode erwähnte Artikel von Sebastian Huncke ist hier zu finden. In der Episode wurde es zwar nicht erwähnt, aber Sebastian Huncke hielt auch einen Vortrag im Rahmen eines Science Slams über August Engelhardt. Der ist hier zu finden. Das Episodenbild ist ein Ausschnitt aus diesem Stich aus dem Jahr 1807, linzensiert durch die Wellcome Collection auf Basis einer CC 4.0 Lizenz.
POINT (37.5537157 55.715762);GAG140: Eisbrecher für die Diplomatie – das Fußball-Länderspiel Sowjetunion gegen die BRD 1955;https://www.geschichte.fm/podcast/zs140/;Wir springen in das Jahr 1955 und sprechen über ein ganz besonderes Länderspiel: Die Sowjetunion empfing am 21. August 1955 die DFB-Auswahl der Bundesrepublik. Die westdeutsche Mannschaft reiste als Weltmeister nach Moskau und brisanter könnte die Gemengelage für ein Fußballspiel kaum sein: Es gab noch keine diplomatischen Beziehungen zwischen den beiden Ländern, zahlreiche Kriegsgefangene warteten in der Sowjetunion auf ihre Rückkehr nach Deutschland, ungefähr 1.500 deutsche Fans reisten mit nach Moskau und dann folgte nur drei Wochen nach dem Spiel ein Staatsbesuch Konrad Adenauers in Moskau.  Vielen Dank an Matthias Kneifl, der uns als Experte unterstützt hat. Matthias ist als KickschuhBlog unterwegs und ist Teil des Podcasts über Darmstadt 98 „Hoch und Weit“. Außerdem hat Matthias einige Kapitel zum Buch „Der Kracher von Moskau. Fußball zwischen Politik und Sport – Das Länderspiel Sowjetunion gegen die Bundesrepublik Deutschland am 21. August 1955“ beigetragen. Zu dieser Episode wird in Kürze eine Rückpass-Folge erscheinen, in es noch etwas ausführlicher über das Länderspiel von 1955 gehen wird.
POINT (0.5535329 50.2632976);GAG137: Die Französisch-Britische Union;https://www.geschichte.fm/podcast/zs137/;Wir springen diese Woche in der Geschichte nicht sehr weit zurück. Nur bis 1940, als sich ein kleines aber feines Stück jener Art von Geschichte zuträgt, das wir getrost als „was wäre wenn“-Geschichte bezeichnen können. Erzählt wird diese Geschichte allerdings nicht von uns, sondern von einem Gasterzähler. Ralf Grabuschnig, selbst Historiker, Blogger und Geschichtenerzähler in seinem eigenen Podcast auf Déjà-vu Geschichte, hat uns diese Geschichte mitgebracht. Vielen Dank dafür!
POINT (16.3510531 48.2321132);Extra: Die gesamte Führung durch den Jüdischen Friedhof Währing;https://www.geschichte.fm/podcast/zs136-bonus/;"In dieser Spezialfolge, angekündigt in der eigentlichen Folge 136, ist nun die gesamte aufgenommene Führung durch den jüdischen Friedhof Währing in Wien, geleitet von der Historikerin Tina Walzer zu hören. Einige der Dinge, die hier zu hören sind, sind bereits in der eigentlichen Folge zu hören, v.a. der erste Teil über die Geschichte des Friedhofs. Andere Teile haben es aus Zeitgründen nicht in die Folge geschafft, und können hier nun nachgehört werden, zum Beispiel die Beschreibung des Friedhofs im Friedhof, nämlich der Türkisch Israelitischen Kultusgemeinde. Außerdem gibt&#8217;s am Schluss auch noch ein paar mehr Antworten auf Fragen, die an Tina Walzer gestellt wurden. Für alle jene, die bereits in Episode 136 gehörte Teile überspringen wollen, haben wir Kapitelmarken eingefügt. Hier nochmal zur Information: Wer selbst an einer solchen Führung teilnehmen will oder bei einem der Freiwilligentage helfen will, den Friedhof zu pflegen, findet unter dieser URL alle Informationen dazu. Bilder Hier noch ein paar zusätzliche Bilder zu jenen bei Episode 136. Ein Grabmal im Türkisch-Israelitischen Friedhofsteil  Das von Tina Walzer beschrieben Grabmal mit extra hoher Urne im stilisierten Turm. &nbsp; Das von Tina Walzer beschriebene Hochhaus, der Arthur-Schnitzler-Hof, das auf dem während der NS-Zeit zerstörten Teil des Friedhofs errichtet wurde.  &nbsp;"
POINT (16.3514587 48.2321775);GAG136: Der Jüdische Friedhof Währing;https://www.geschichte.fm/podcast/zs136/;"Wir springen in dieser Episode ins 19. Jahrhundert Wiens. Genauer lassen wir uns durch diese Zeit führen, und zwar wortwörtlich. Im Rahmen einer Führung durch den jüdischen Friedhof Währing, der aktiv für etwas über 100 Jahre verwendet wurde, erzählt uns die Historikerin Tina Walzer die Geschichte des Friedhofs, und damit auch die Geschichte der jüdischen Gemeinde Wiens des 19. Jahrhunderts. Bilder Ein wie von Tina Walzer beschriebener traditioneller Grabstein Die in der Episode erwähnten Priesterhände Blick auf den Arthur-Schnitzler-Hof, der auf dem während der NS-Zeit zerstörten Teil des Friedhofs gebaut wurde. Ursprünglich für den Bau eines nie fertiggestellten Luftschutzbunkers, wurden hierfür über 2000 Gräber zerstört. Eine der erwähnten Gruftanlagen, die im Jahr 1943 aufgebrochen wurde, um die Gebeine für Untersuchungen des Naturhistorischen Museums Wien zu stehlen. Führungen und Freiwilligentage Wie ebenfalls erwähnt, ist die Instandhaltung des Friedhofs schwierig, da die nötigen Mittel fehlen. Daher gibt es sogenannte Freiwilligentage, an denen geholfen werden kann, den Friedhof zu pflegen. Da der Friedhof aufgrund diverser Gefahrenquellen nicht öffentlich zugänglich ist, sind diese Freiwilligentage neben den ebenfalls regelmäßig stattfindenden Führungen die einzige Möglichkeit, sich den Friedhof genauer anzusehen. Wir empfehlen daher allen, die die Möglichkeit haben, an einem Freiwilligentag teilzunehmen, das auch zu tun. Alle Information dazu gibt&#8217;s hier."
POINT (16.3667432 48.2083698);GAG135: Adolf Loos;https://www.geschichte.fm/podcast/zs135/;Wir sprechen in dieser Folge über den Architekten Adolf Loos. Er gilt als Wegbereiter der modernen Architektur und war ein scharfer Kritiker des Jugendstils, der Wien zur Jahrhundertwende prägte. Vor allem das Ornament war ihm ein Dorn im Auge, was ihn auch zu seinem berühmtesten Essay „Ornament und Verbrechen“ inspirierte. 1928 wurde Loos verhaftet und er musste sich wegen Vorwürfen des sexuellen Missbrauchs an drei Mädchen verantworten. Zwar wurde Loos „von den Verbrechen der teils vollbrachten, teils versuchten Schändung freigesprochen“, aber „wegen Verführung zur Unzucht von ihm anvertrauten Kindern bedingt zu vier Monaten Arrest verurteilt“. Die Strafe wurde zur Bewährung ausgesetzt. Während der Fall vor allem auf Basis der damaligen Medienberichterstattung aufgearbeitet wurde, kam es 2014 zu einer überraschenden Wende: der verschollene (und vollständige) Gerichtsakt tauchte auf und brachte neue Erkenntnisse über Anklage, Verhöre und Verlauf des Prozesses. Gerichtsakten in der Strafsache gegen Adolf Loos (Wiener Stadt- und Landesarchiv) Vielen Dank an Andreas Weigel, der sich intensiv mit dem Gerichtsprozess um Loos beschäftigt hat und der uns für diese Episode als Experte zur Verfügung stand! Wer auf der Suche nach
POINT (-73.9970307 40.7157509);GAG124: Eine kleine Geschichte des Chinese Restaurant Syndroms;https://www.geschichte.fm/podcast/zs124/;"Wir springen in dieser Episode in die 60er Jahre des 20. Jahrhunderts und sprechen über eine kleine Geschichte, die langfristige Folgen haben sollte. Es geht um den Geschmacksverstärker der gemeinhin als Glutamat bekannt ist und warum auch heute noch viele Chinarestaurants damit werben, nichts davon zu verwenden. Das erwähnte Paper von Ian Mosby ist dieses hier, für alle, die mehr zur Unbedenklichkeit von Glutamat und einer großen Metastudie der US-Behörde FDA lesen wollen, gibt&#8217;s dieses Paper."
POINT (10.3157014 53.9349531);GAG119: Die NS-Thingbewegung – Thingstätten und Thingspiele;https://www.geschichte.fm/podcast/zs119/;Wir beschäftigen uns dieser Episode mit einem gescheiterten NS-Propagandaprojekt: der NS-Thingbewegung. Nach 1933 wurde nicht nur der Bau von 400 Thingstätten geplant, sondern auch der Versuch unternommen, mit dem Thingspiel ein „germanisches“ Theater zu erfinden. Nach nur wenigen Jahren wurden die NS-Thing-Versuche aber wieder abgebrochen. Einige der damals gebauten Thingplätze werden bis heute genutzt, wie die Waldbühne in Berlin, die Heidelberger Thingstätte auf dem Heiligenberg oder das Kalkbergstadion in Bad Segeberg. Außerdem am Anfang: eine (ganz) kurze Einführung in die germanischen Ursprünge des Thing. Heidelberger Thingstätte auf dem Heiligenberg.
POINT (13.3906719 52.5402599);GAG117: Tunix, Tuwat und die Entstehung des Chaos Computer Clubs;https://www.geschichte.fm/podcast/zs117/;Vor 40 Jahre haben Spontis in Berlin zu einer „Reise nach Tunix“ aufgerufen und zu einer Ausreise aus dem „Modell Deutschland“. Aufruf in der taz, während des Tuwat-Kongresses, 1981 zu einem Treffen von Komputerfrieks. Der dreitägige Tunix-Kongress Ende Januar 1978 war für viele, die sich dem linken Spektrum zugehörig fühlten, ein Wendepunkt und war Initialzündung für viele neue Projekte – von denen es heute noch einige gibt. Wenige Monate nach dem Deutschen Herbst kam nun im linken Spektrum wieder Aufbruchstimmung auf. Einigen gilt der Tunix-Kongress daher als Geburtsstunde der Alternativbewegung in Deutschland. Drei Jahre später, im August 1981, fand dann in Berlin der Tuwat-Kongress statt und Komputerfrieks riefen zu einem ersten Treffen auf, das wegweisend war für die Gründung des Chaos Computer Clubs wenige Jahre später. Der Historiker Michael März hat uns in dieser Episode als Experte unterstützt. Er hat mit einer Arbeit über die Linke Ende der 70er Jahre promoviert („Linker Protest nach dem Deutschen Herbst. Eine Geschichte des linken Spektrums im Schatten des ’starken Staates‘, 1977-1979“). Vielen Dank fürs Mitmachen! Die Zeitzeugen-Einspieler und der Einspieler mit dem Einladungsschreiben TUWAT.TXT stammen aus dem Podcast CRE, wo Tim Pritlove in Episode 77 mit Wolf Gevert, Klaus Schleisiek und Jochen Büttner über das Zustandekommens des Tuwat-Treffens sprach.
POINT (-7.106209 58.013621);GAG114: Gerhard Zucker und sein Raketentraum;https://www.geschichte.fm/podcast/zs114/;Wir springen zurück in die 30er Jahre des 20. Jahrhunderts. Auf der entlegenen schottischen Insel Scarp wird ein außergewöhnliches Experiment gewagt, in dessen Zentrum ein Mann steht: Gerhard Zucker, deutscher Geschäftsmann und Visionär. Wir sprechen darüber, was gerade ihn auf diese Insel verschlägt und was sich nicht nur er, sondern die britische Regierung von diesem Experiment erwarten.
POINT (-139.629564 -37.1305076);GAG110: 110 112 999;https://www.geschichte.fm/podcast/zs110/;"2, 999, etc. Pünktlich zur 110. Episode beleuchten wir diesmal die Geschichte des Notrufs. Heute selbstverständlich, waren Feuerwehr, Rettung oder Polizei nicht immer so einfach zu erreichen. Damit das Ganze auch in etwas Kontext eingebettet wird, gibt&#8217;s anfangs auch noch eine kleine Geschichte der Feuerwehr und Rettung. Vielen Dank an Nils, der uns den Hinweis zu Thema und passender Episodenzahl gegeben hat."
POINT (20.168331 41.153332);GAG109: Der Lotterieaufstand in Albanien;https://www.geschichte.fm/podcast/zs109/;Wir springen in dieser Episode nur wenige Jahre zurück und sprechen über die Folgen des Zusammenbruchs von Pyramidensystemen 1996/97 in Albanien. In der Folge kam es zu Massenprotesten und die Regierung um Präsident Sali Berisha verlor zunehmend die Kontrolle über das Land, das kurzzeitig am Rande eines Bürgerkriegs stand. Ein großer Dank geht an Egin Ceka, der uns als Experte für diese Folge zur Verfügung stand. Am Ende der Folge ist ein Ausschnitt aus einem Gespräch zu hören, das Martin Rützler mit Detlef Breitenbach geführt hat, der leider verstorben ist.
POINT (-139.5020058 -42.4444753);GAG103: Demoskopie – eine kurze Geschichte der (politischen) Meinungsforschung;https://www.geschichte.fm/podcast/zs103/;Wir springen diesmal ins 20. Jahrhundert zurück und beschäftigen uns mit der Geschichte der politischen Umfrage. Gerade in Wahlkampfzeiten ist Meinungsforschung nicht nur besonders gefragt, sondern steht ebenso in der Kritik: Inwiefern verändern Sonntagsfragen Wahlentscheidungen? Wenn es um die Geschichte der Umfragen geht, wird häufig von einer Wette erzählt. George Gallup sagte 1936 mit Hilfe einer repräsentativen Umfrage das Wahlergebnis der US-Präsidentschaftswahl richtig voraus. Ist das tatsächlich der Beginn der modernen Meinungsforschung, oder doch eher ein Mythos? In Deutschland etablierte sich die Meinungsforschung jedenfalls nach dem 2. Weltkrieg als amerikanische bzw. demokratische Wissenschaft. Ein großer Dank geht an Anja Kruke, die als Expertin für diese Episode zur Verfügung stand! Die Historikerin leitet das Archiv der sozialen Demokratie bei der Friedrich-Ebert-Stiftung und sie hat über die Geschichte der Demoskopie promoviert (Demoskopie in der Bundesrepublik Deutschland – Meinungsforschung, Parteien und Medien 1949-1990). Das Episodenbild zeigt eine Zeitschrift aus dem Jahr 1919, in der den Leserinnen und Lesern gezeigt wurde, wie sie in den Wahllokalen erwartet.
POINT (16.5844795 47.6816619);GAG102: Ein Picknick, das die Welt verändert;https://www.geschichte.fm/podcast/zs102/;Wir springen diesmal nicht sehr weit in die Vergangenheit zurück. Das Jahr ist 1989, der Ort ist die österreichisch-ungarische Grenze. Mitglieder der ungarischen Opposition planen ein Picknick am Eisernen Vorhang, bei welchem Delegationen der beiden Länder – symbolisch – dabei helfen sollen, den Vorhang abzutragen. Was dann allerdings geschieht, wird dieses Picknick zu einem Katalysator des schlussendlichen Vorhang- und Mauerfalls machen. Der detaillierte Bericht zur Planung und Durchführung des Picknicks, verfasst von Mitorganisator Laszlo Nagy, ist hier zu finden. Ein Flugblatt des Picknicks ist auf dieser Seite abgebildet (allerdings nicht wie in der Episode erwähnt mit einer Taube, sondern einer Rose, die Stacheldraht durchbricht).
POINT (37.6029939 55.7569528);GAG101: Leon Theremin – Was die Anfänge der elektronischen Musik mit überwachungstechniken zu tun haben;https://www.geschichte.fm/podcast/zs101/;Der Alltag hat uns wieder. Auf die Jubiläumsepisode folgt in gewohntem Rhythmus die nächste Geschichte. Es geht diesmal um Leon Theremin, den Erfinder des Theremins. Den musikalischen Aspekt streifen wir aber nur, auch wenn das Theremin den Beginn der elektronischen Musik markiert, denn vor allem sprechen wir über das wechselhafte und faszinierende Leben von Theremin. Nachdem er – in St. Petersburg geboren – einige Jahre in New York ein teilweise glamouröses Leben hatte, ging er zurück in die Sowjetunion und galt im Westen als verschollen. Was nicht zuletzt daran lag, dass Theremin seine Erfindungen nun für einen anderen Anwendungsfall einsetzte und für den Geheimdienst arbeitete. Und so kommt es, dass Theremin nicht nur das erste elektronische Instrument gebaut hat, sondern auch die erste passive Wanze – the Great Sealbug oder auch The Thing. Ein besonderer Dank für diese Episode geht an Lothar Bodingbauer und Albert Glinsky für ihre Expertise, und an Thomas für die Idee!
POINT (0.1493399 52.1737886);GAG93: Das Geheimnis des Lebens – Wie es zur Entdeckung der Doppelhelix kam;https://www.geschichte.fm/podcast/zs93/;"Wir springen in die 1950er Jahre und sprechen über eine der wichtigsten wissenschaftlichen Entdeckungen der Nachkriegszeit: James Watson und Francis Crick entwarfen als erste das Doppelhelixmodell der DNA.  Ein großer Schritt, dem Geheimnis des Lebens auf die Spur zu kommen, jedoch läuft ihre Forschung zunächst nicht ganz so erfolgreich. In dieser Folge werden wir von zwei Experten unterstützt, die uns die Geschichte erzählen: Helga Hofmann-Sieber und Timo Sieber. Die beiden haben nicht nur in Biologie promoviert, sondern sich auch mit Biologiegeschichte beschäftigt – in ihrem Buch &#8222;Wilde Gene. Vom verborgenen Leben in uns&#8220;. Wir sprechen über die Vorgeschichte der Entdeckung und das berühmte Foto 51 von Rosalind Franklin, das auch Episodenbild ist und wesentlichen Anteil am Modell von Watson und Crick hatte."
